Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Тапкомания,бутик,Обувные магазины,"шоссе Северное Кольцо, 20",113 бутик; 7 ряд,050058,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 07:00-18:00; Ср: 07:00-18:00; Чт: 07:00-18:00; Пт: 07:00-18:00; Сб: 07:00-18:00; Вс: 07:00-18:00,+05:00,,,87074184551,,,,,,,https://instagram.com/tapkomaniya,,,,https://wa.me/77074184551,,,,,,43.300149,76.893415,https://2gis.com/firm/70000001041745358
Fabio Paoloni,онлайн-магазин мужской одежды и обуви,Обувные магазины; Мужская одежда,,,,,,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,6,87086886028,87089114652,,,,,,https://instagram.com/fabio_almaty,,,,https://wa.me/77089114652,https://wa.me/77086886028,,,,,,,https://2gis.com/firm/70000001060707840
Brother`s,бутик мужской одежды,Обувные магазины; Мужская одежда; Сумки / Кожгалантерея,"улица Рихарда Зорге, 18",A-044 бутик; 1 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.0,1,87750909898,,,,,,,https://instagram.com/brothers_almata,,,,https://wa.me/77750909898,,,,,,43.33706,76.954339,https://2gis.com/firm/70000001066138421
Бутик женской обуви,,Обувные магазины,"проспект Жибек Жолы, 70",246 бутик; 2 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,,,,,,,,,,,,,,,,,,,,43.262128,76.946348,https://2gis.com/firm/70000001083261535
bootiful shoes,обувной магазин,Обувные магазины,"микрорайон Аксай-4, 70Б",1 бутик; 2 этаж,050063,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,2,87475837540,,,,,,,,,,,https://wa.me/77475837540,,,,,,43.225887,76.840753,https://2gis.com/firm/70000001080119566
Moda,бутик,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"улица Рихарда Зорге, 18/4",012 бутик; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87059857845,,,,,,,https://instagram.com/dommoda.kz,,,,https://wa.me/77059857845,,,,,,43.335938,76.953325,https://2gis.com/firm/70000001084149774
Er,бутик мужской обуви,Обувные магазины,"улица Рихарда Зорге, 18",В-016 бутик; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.0,1,87014940101,,,,,,,https://instagram.com/er_shoes_almaty,,,,https://wa.me/77014940101,,,,,,43.336511,76.955556,https://2gis.com/firm/70000001044989963
Melange Shop,бутик,Обувные магазины; Женская одежда; Верхняя одежда,"улица Рихарда Зорге, 18",В-025 бутик; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87773585598,,,,,,,https://instagram.com/_melange_shop_,,,,https://wa.me/77773585598,,,,,,43.336752,76.954642,https://2gis.com/firm/70000001045025521
Xtep,магазин спортивной обуви и одежды,Обувные магазины; Спортивная одежда / обувь; Мужская одежда; Женская одежда,"Ташкентский тракт, 17к",1 этаж,040916,,,Алматы,Карасайский район,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,4,87078189002,,,,,http://xtep.kz,,https://instagram.com/xtepkaz,,,https://vk.com/xtepkz,,,,,,,43.23413,76.777227,https://2gis.com/firm/70000001079597602
obuv_zhanakuat,,Обувные магазины; Постельные принадлежности / Текстиль для дома,"7-я улица, 551а",,040700,Жана Куат ж/м,,Алматы,Талгарский район,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,1,87019473548,,,,,,,https://instagram.com/obuv_zhanakuat,,,,https://wa.me/77019473548,,,,,,43.399306,77.028724,https://2gis.com/firm/70000001069613020
New look,бутик женской одежды и аксессуаров,Обувные магазины; Женская одежда; Сумки / Кожгалантерея; Бижутерия; Головные / шейные уборы,"улица Жандосова, 162а",цокольный этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,,,87012287696,,,,,,,,,,,https://wa.me/77012287696,,,,,,43.211672,76.869509,https://2gis.com/firm/9429940001188468
Brother`s,бутик мужской одежды,Обувные магазины; Мужская одежда,"улица Рихарда Зорге, 18/4",2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.0,2,87750909898,,,,,,,https://instagram.com/brothers_almata,,,,https://wa.me/77750909898,,,,,,43.336561,76.953211,https://2gis.com/firm/70000001066328639
Mario Muzi,бутик обуви,Обувные магазины,"Кульджинский тракт, 106",1 этаж,,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1,87017377575,87018887654,,,,,,https://instagram.com/obuv_moda,,,,,,,,,,43.314625,77.023378,https://2gis.com/firm/70000001081239280
Елюар,торгово-производственная компания,Обувные магазины; Сувениры,"улица Маркаколь, 141",,050065,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87082392981,,,,,,,https://instagram.com/lazeralmaty1,,,,https://wa.me/77082392981,,,,,,43.30624,76.857289,https://2gis.com/firm/70000001047929124
Carvalio Denim,,Обувные магазины; Мужская одежда,"улица Бекболата, 1 блок В","Сектор а 2ряд 13,14 контейнер",050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,,,87085214007,,,,,,,,,,,https://wa.me/77085211507,,,,,,43.305855,76.893106,https://2gis.com/firm/70000001088132347
Magazin_krasovk,магазин обуви,Обувные магазины,"Айнабулак 2 микрорайон, 71д/2",,050014,Айнабулак 2 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,87002503720,,,,,,,,,,,https://wa.me/77002503720,,,,,,43.320123,76.916055,https://2gis.com/firm/70000001082039639
Alseda,магазин по продаже одежды с подогревом,Обувные магазины; Верхняя одежда,"микрорайон Кайрат, 181-182 к6",27 бутик; 2 этаж,050019,Кайрат м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,2,87788309426,87054360560,,,,http://tiktok.com/alseda_podogrev,,https://instagram.com/alseda_podogrev,,,,https://wa.me/77788309426,https://wa.me/77054360560,,,,,43.302038,77.00572,https://2gis.com/firm/70000001080695965
Башмачок,салон обуви,Обувные магазины,"микрорайон Айнабулак 3, 98а",,050014,Айнабулак 3 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87017669356,,,,,,,,,,,https://wa.me/77017669356,,,,,,43.320259,76.917079,https://2gis.com/firm/70000001080217350
Mix Shop,магазин,Обувные магазины; Постельные принадлежности / Текстиль для дома; Женская одежда,"улица Молдагалиева, 2/1",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:30; Вт: 10:00-18:30; Ср: 10:00-18:30; Чт: 10:00-18:30; Пт: 10:00-18:30; Сб: 10:00-18:30; Вс: 10:00-18:30,+05:00,,,87085668475,,,,,,,,,,,https://wa.me/77085668475,,,,,,43.33016,76.953898,https://2gis.com/firm/70000001081601351
Inblu Adanex Belsta,бутик обуви,Обувные магазины,"улица Тимирязева, 42 к3",24 бутик; 2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87076744833,,,,,,,https://instagram.com/mir_tapochek_almaty,,,,https://wa.me/77077644833,https://wa.me/77076744833,,,,,43.225277,76.909131,https://2gis.com/firm/70000001056355920
Саркант,магазин одежды для дома,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда,"улица Каипова, 2",,,Алатау м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,1.0,1,,,,,,,,,,,,,,,,,,43.355649,77.142701,https://2gis.com/firm/70000001046060779
Lavish,магазин,Обувные магазины; Косметика / Парфюмерия; Чулочно-носочные изделия; Женская одежда; Нижнее бельё,"микрорайон Шугыла, 342 к3",1 этаж,050006,Шугыла м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,4.6,31,87011999980,87028888199,,,,,,,,,,https://wa.me/77011999980,https://wa.me/77028888199,,,,,43.214391,76.788411,https://2gis.com/firm/70000001057555366
step by step,магазин,Обувные магазины; Сумки / Кожгалантерея,"улица Биржана, 4 к1",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,1,87012728772,,,,,,,https://instagram.com/_stepbystep_kz,,,,https://wa.me/77012728772,,,,,,43.198343,76.878783,https://2gis.com/firm/70000001055256942
Cotton,"магазин одежды, обуви и аксессуаров",Обувные магазины; Женская одежда; Мужская одежда; Детская одежда; Бижутерия,"улица Рыскулова, 164",,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.2,7,87081115540,,,,,,,https://instagram.com/cottonshop_kz,,,,https://wa.me/77081115540,https://wa.me/77008008010,,,,,43.316128,77.245446,https://2gis.com/firm/70000001075159917
Etor,обувной магазин,Обувные магазины,"шоссе Северное Кольцо, 29/6",28 бутик; 1 ряд,050015,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,,,87476408755,,,,,,,,,,,,,,,,,43.295531,76.893581,https://2gis.com/firm/70000001088126772
Екатерина,бутик обуви,Обувные магазины,"шоссе Северное Кольцо, 23","131, 138 бутик; 4 ряд; 1 этаж",050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87053053544 (единая справочная: вт-вс 10:00-17:00),,,,,,,https://instagram.com/_ekaterina.kz,,,,,,,,,,43.291748,76.89201,https://2gis.com/firm/70000001039902889
I_go.kz,обувной магазин,Обувные магазины,"шоссе Северное Кольцо, 19а",A17 бутик,050058,,Жетысуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,,,87085361132,,,,,http://tiktok.com/@i_go.kz,,https://instagram.com/i_go.kz,,,,https://wa.me/77085361132,,,,,,43.290761,76.891613,https://2gis.com/firm/70000001077822099
Мир обуви,обувной магазин,Обувные магазины; Детская одежда; Женская одежда; Мужская одежда,"улица Жангозина, 7",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,1.5,3,87007194694,87780610102,,,,,,,,,,https://wa.me/77007194694,,,,,,43.209169,76.62981,https://2gis.com/firm/70000001044481544
Арзан,магазин одежды,Обувные магазины; Женская одежда; Мужская одежда; Детская одежда; Сумки / Кожгалантерея,"улица Наурызбай батыра, 98",1 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,1,,,,,,,,https://instagram.com/arzan_kaskelen.shop,,,,,,,,,,43.200734,76.633867,https://2gis.com/firm/70000001055659217
Yolo,магазин обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Тимирязева, 42 к3",30 бутик; 1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87776668774,,,,,,,https://instagram.com/yolo_shoes_almaty,,,,https://wa.me/77776668774,,,,,,43.225396,76.909401,https://2gis.com/firm/70000001075968656
Grand Moda,магазин обуви и аксессуаров,Обувные магазины; Сумки / Кожгалантерея; Детская обувь,"улица Рихарда Зорге, 26",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,14,87789999959,,,,,,,https://instagram.com/grand.moda,,,,https://wa.me/77789999959,,,,,,43.334489,76.953923,https://2gis.com/firm/70000001054718914
Keddo,магазин обуви,Обувные магазины; Головные / шейные уборы; Сумки / Кожгалантерея,"Ташкентский тракт, 17к",1 этаж,040916,,,Алматы,Карасайский район,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87477055555,,,,,http://respect.kz,,https://instagram.com/keddo_kazakhstan,,,,https://wa.me/77477055555,,,,,,43.233612,76.778279,https://2gis.com/firm/70000001085623291
Super arzan,магазин одежды,Обувные магазины; Мужская одежда; Женская одежда; Детская одежда; Посуда,"улица Алдабергенова, 15/1",2 этаж,041626,,,,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,2.0,5,87017605357,,,,,,,https://instagram.com/superarzan.tuzdybastau,,,,https://wa.me/77017605357,,,,,,43.314031,77.057124,https://2gis.com/firm/70000001035302943
Galamshar,магазин,Обувные магазины; Женская одежда; Мужская одежда; Сумки / Кожгалантерея; Детская одежда,"улица Аксуат, 32а",,050017,Кемел м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,4,,,,,,,,,,,,,,,,,,43.367192,76.948012,https://2gis.com/firm/70000001041969300
Umar Men shop,бутик мужской одежды,Обувные магазины; Мужская одежда,"улица Рихарда Зорге, 18",A-069 бутик; 1 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.0,1,87787885111,,,,,,,https://instagram.com/vincent_hzm_mart,,,,https://wa.me/77787885111,,,,,,43.336897,76.954821,https://2gis.com/firm/70000001060022534
Start-top,семейный магазин,Обувные магазины; Мужская одежда; Женская одежда; Детская одежда; Сумки / Кожгалантерея,"улица Титова, 33Б",2 этаж,040700,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.1,1,,,,,,,,https://instagram.com/start_top_gress,,,,,,,,,,43.421598,77.020818,https://2gis.com/firm/70000001045448499
Магазин одежды и обуви,,Обувные магазины; Мужская одежда; Женская одежда; Сумки / Кожгалантерея; Постельные принадлежности / Текстиль для дома,"улица Бирлик, 66",2 этаж,040924,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,1,,,,,,,,,,,,,,,,,,43.175094,76.762965,https://2gis.com/firm/70000001078568559
Gentleman,салон мужской одежды и обуви,Обувные магазины; Мужская одежда,"улица Асыл Арман, 12",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,1,87025116261,,,,,,,https://instagram.com/gentleman_asilarman,,,,https://wa.me/77025116261,,,,,,43.230914,76.751827,https://2gis.com/firm/70000001047902615
Stagioni,бутик обуви,Обувные магазины,"улица Рихарда Зорге, 18",В-054 бутик; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87767373312,,,,,,,https://instagram.com/stagioni_obuv_almaty,,,,https://wa.me/77767373312,,,,,,43.336553,76.955541,https://2gis.com/firm/70000001029550430
Lion,бутик мужской обуви,Обувные магазины,"улица Рихарда Зорге, 18","В-052, В-053 бутик; 2 этаж",050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87074774737,87072757087,87759005005,,,,,https://instagram.com/_lion_shoess,,,,https://wa.me/77759005005,https://wa.me/77074774737,https://wa.me/77072757087,,,,43.336603,76.955563,https://2gis.com/firm/70000001044989956
Best,магазин обуви,Обувные магазины,"улица Рихарда Зорге, 18",В-048 бутик; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,,,87010779955,,,,,,,https://instagram.com/walk.shoes.kz,,,,https://wa.me/77010779955,https://wa.me/77783757373,,,,,43.336879,76.955684,https://2gis.com/firm/70000001029550058
Di Shoes,бутик женской обуви,Обувные магазины,"улица Розыбакиева, 285/1",3 офис; 2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,,,87758552033,,,,,,,https://instagram.com/di_shoes,,,,https://wa.me/77758552033,,,,,,43.196688,76.893434,https://2gis.com/firm/70000001083460022
Aime_shop.almaty,магазин,Обувные магазины; Сумки / Кожгалантерея; Часы / Аксессуары; Бижутерия; Женская одежда,"улица Асыл Арман, 18","12, 13 кабинет; цокольный этаж",040916,,,,Карасайский район,Алматинская область,Казахстан,"Пн: 11:00-12:00, 13:00-22:00; Вт: 11:00-12:00, 13:00-22:00; Ср: 11:00-12:00, 13:00-22:00; Чт: 11:00-12:00, 13:00-22:00; Пт: 11:00-12:00, 13:00-22:00; Сб: 11:00-12:00, 13:00-22:00; Вс: 11:00-12:00, 13:00-22:00",+05:00,5.0,2,87077333192,87477333192,87782264046,,,,,https://instagram.com/aime_shop.almaty,,,,https://wa.me/77077333192,https://wa.me/77477333192,,,,,43.230371,76.75015,https://2gis.com/firm/70000001051420384
Магазин сумок,,Обувные магазины; Сумки / Кожгалантерея; Бижутерия,"Жетысу-1 микрорайон, 40",1 этаж,050063,Жетысу-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87478678561,,,,,,,,,,,https://wa.me/77478678561,,,,,,43.219168,76.838924,https://2gis.com/firm/70000001080133824
Магазин обуви,,Обувные магазины,"4-й микрорайон, 27",1 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87777321835,,,,,,,,,,,,,,,,,43.229578,76.857579,https://2gis.com/firm/70000001068505274
Мегахенд,магазин одежды и обуви,Обувные магазины; Секонд-хенд; Женская одежда; Мужская одежда; Детская одежда,"улица Карасай батыра, 16Б",,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,11,87475033971,87717096503,,,,,,https://instagram.com/megahand_talgar,,,,https://wa.me/77717096503,,,,,,43.327227,77.247759,https://2gis.com/firm/70000001043587046
Men`s shop,магазин мужской одежды,Обувные магазины; Мужская одежда,"улица Жансугурова, 133",1 этаж,040700,,,,Илийский район,Алматинская область,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.0,1,87785305078,,,,,,,https://instagram.com/man.shop.gres,,,,https://wa.me/77785305078,,,,,,43.42216,77.022964,https://2gis.com/firm/70000001071201573
Ridge,бутик обуви,Обувные магазины,"улица Рихарда Зорге, 18",В-046 бутик; 2 этаж,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.0,1,87759005005,,,,,,,https://instagram.com/ridge_shoes,,,,https://wa.me/77759005005,,,,,,43.33693,76.955706,https://2gis.com/firm/70000001029539136
Bashmak.kz,пункт выдачи товара,Обувные магазины; Детская одежда; Чулочно-носочные изделия,"улица Майлина, 228",,050054,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:30; Вт: 10:00-19:30; Ср: 10:00-19:30; Чт: 10:00-19:30; Пт: 10:00-19:30; Сб: 12:00-17:00; Вс: 12:00-19:30,+05:00,3.0,2,87026994297,87477994297,,,,http://bashmak.kz,,https://instagram.com/bashmak.kz,https://twitter.com/bashmak_kz,https://facebook.com/Bashmak.kz,https://vk.com/club97754701,https://wa.me/77023513908,,,,,,43.333703,76.980395,https://2gis.com/firm/70000001030397184
Мир одежды и обуви,магазин,Обувные магазины; Мужская одежда; Женская одежда,"улица Бекмаханова, 2",2 этаж,050028,Нижняя пятилетка м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,,,87473609205,,,,,,,,,,,https://wa.me/77473609205,,,,,,43.354811,76.949182,https://2gis.com/firm/70000001066316972
Ecco,склад,Обувные магазины; Сумки / Кожгалантерея; Детская обувь,"трасса Алматы-Капчагай, 13/2",,,,,Алматы,Илийский район,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,87719939177 (интернет-магазин: пн-пт 9:00-19:00),,,,,http://www.ecco.kz,,,,,,https://wa.me/77719939177,,,,,,43.388773,76.970941,https://2gis.com/firm/70000001063288173
Мир обуви,магазин,Обувные магазины; Детская одежда; Детская обувь,"улица Наманганская, 51Б",,050039,Алтай-1 м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.7,3,,,,,,,,https://instagram.com/obuvnayabaza,,,,https://wa.me/77475656848,,,,,,43.342936,76.984199,https://2gis.com/firm/70000001057655194
